"text",
"but then, the group entered a filler arc where (C1) and (C3) joined a boy band",
"and then, the fires of Double-Hell cosumed (C2)'s soul and (C3) had to venture below to get it back",
"but then, (C3) revealed (C1)... I am your father.",
"but suddenly, Jesus comes to challenge (C2) to a dance off",
"and then, due to hunger (C2) literally stole candy from a baby",
"but then, (C3) felt a bit sticky",
"but suddenly, (C3) had a epileptic seizure",
"but then, (C2) was infected with Space AIDs and (C1) and (C3) become microbe size and went in to kill it",
"and then, there was awkward sexual tension between (C2) and (C1)",
"but then, (C1) kept wishing the clothes hanger wasn't long enough",
"but then, (C3) climbed onto (C2)'s shoulders and they souted EAGLEEEEEEEEEEE!",
"all of the sudden, the characters were SWATted because (C1) had been streaming everything on Twitch",
"out of nowhere, a hawk swooped down from the sky and dropped a rabid raccoon on (C2)",
"that caused, (C3) to break out into tears, pulling a teddy bear out of nowhere and crying about not going back to the dark place",
"but suddenly, a ray of light shined down upon (C1) and they were enlightened through the ways of Cthulhu",
"and then, (C1) and (C3) decided to take a break from their adventure and play a game of connect four",
"all of the sudden, a flash mob appeared and everyone started dancing to Uptown Funk",
"in a flash, (C3) did an unforgivable act, and stole a balloon on free balloon day",
"after that, (C3) felt extremely sentimental and gave (C1) a stray puppy",
"but then, (C2) walked up to (C3) with a rose and asked (C3) if they had dropped it",
"after that, (C1) said that (C3) reminded him of (C2)'s mother",
"but then, (C3) realized divine intervention isn't always good",
"but then, (C2) found the Lady of the Lake",
"*but the, (C1) found the Man of the Bake",
"but suddenly, (C3) decided to drop it like it was hot",
"and then, they all realized why Genocide was a good thing",
"but suddenly, they realized they summoned the Four Horsemen",
"all of the sudden, they stumbled upon a midget orgy",
"after that, they decided the world is better off without some people",
"and then, (C3) splatted (C1) with sticky white goop",
"suddenly, (C1) heard the muffled sounds of children from a nearby closet",
"but then, (C2) was assaulted by Horsel Frisk, the Rapey Dolphin",
"and then, (C3)'s wife Noo Noo burst into action at the mere sight of dirty stuff",
"suddenly, the memories of Bill Cosby returns to (C2) as (C1) eats a 'puddin' pop'",
"*and then, (C2) decides to take a shortcut to the toy store...through a playground",
"*but then, (C1) fought against an invasion of Ebola with...bolas",
"meanwhile, (C1) enjoys his/her favorite past time, punting babies in the name of Mecha-Hitler",
"but then, (C3) became his alter-ego, Lord Snaggle-Clutch, and roundhouse kicks (C2)",
"and then, (C2) got decked by (C3) saying, \'X gon give it to ya!\'",
"and then (C2) got into an fiddle-off with the actual devil",
"then, during a holiday special (C2) and (C1) were revealed to be quite naughty and had to fight Krampus",
"*some time after (C2) cross-dressed to seduce a local crime boss to steal his money. The seduction went notably poorly",
"and afterward authorities arrived the group spent an uncomfortable night in jail with Bubba the Back Breaker",
"but then, at just the right time, (C1) finally removed the gimp suit",
"and, (C3) had never been so oddly aroused",
"and thus, race relations were sent back at least 20 years",
